"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","543","nodes should remain unchanged in case of failure while updating topic constraints","MultiZookeeperIntegrationTest","Mon May 18 09:36:39 UTC 2026","passed","Mon May 18 09:36:40 UTC 2026","","WorkloadConstraintsServiceTest","pl.allegro.tech.hermes.management.domain.workload.constraints.WorkloadConstraintsServiceTest","nodes should remain unchanged in case of failure while updating topic constraints"
"","73","should provide schema from source of given version","","Mon May 18 09:38:02 UTC 2026","passed","Mon May 18 09:38:02 UTC 2026","","CachedCompiledSchemaRepositoryTest","pl.allegro.tech.hermes.schema.CachedCompiledSchemaRepositoryTest","should provide schema from source of given version"
"","1","should filter '$.topping[4:6].type' matching '^Choco.*' with result: true","","Mon May 18 09:33:24 UTC 2026","passed","Mon May 18 09:33:24 UTC 2026","","JsonPathMessageFilterSpec","pl.allegro.tech.hermes.domain.filtering.JsonPathMessageFilterSpec","should filter '$.topping[4:6].type' matching '^Choco.*' with result: true"
"","133","should change subscription state","IntegrationTest","Mon May 18 09:33:28 UTC 2026","passed","Mon May 18 09:33:29 UTC 2026","","ZookeeperSubscriptionRepositoryTest","pl.allegro.tech.hermes.infrastructure.zookeeper.ZookeeperSubscriptionRepositoryTest","should change subscription state"
"","5","shouldReturnClientErrorWhenRequestingTopicRetransmissionWithEmptyData()","","Mon May 18 09:39:47 UTC 2026","passed","Mon May 18 09:39:47 UTC 2026","","pl.allegro.tech.hermes.integrationtests.management.OfflineRetransmissionManagementTest","pl.allegro.tech.hermes.integrationtests.management.OfflineRetransmissionManagementTest","shouldReturnClientErrorWhenRequestingTopicRetransmissionWithEmptyData"
"","11","should send custom header when publishing using RestClient sender","","Mon May 18 09:33:11 UTC 2026","passed","Mon May 18 09:33:11 UTC 2026","","HermesSenderTest","pl.allegro.tech.hermes.client.HermesSenderTest","should send custom header when publishing using RestClient sender"
"","145","should check nonAdminCreationEnabled = true on group creation for admin = true","","Mon May 18 09:35:51 UTC 2026","passed","Mon May 18 09:35:51 UTC 2026","","ManagementRightsSpec","pl.allegro.tech.hermes.management.api.auth.ManagementRightsSpec","should check nonAdminCreationEnabled = true on group creation for admin = true"
"","2","should use status code 201 as a default","","Mon May 18 09:37:58 UTC 2026","passed","Mon May 18 09:37:58 UTC 2026","","ResponseTest","pl.allegro.tech.hermes.mock.ResponseTest","should use status code 201 as a default"
"","2","should convert primitive types with default values [suite: default-primitives, avroType: double, fieldExists: true, protoDescriptor: <com.google.protobuf.Descriptors$Descriptor@1e2aa6d0 index=inaccessible proto=inaccessible fullName=inaccessible file=inaccessible containingType=inaccessible nestedTypes=inaccessible enumTypes=inaccessible fields=inaccessible fieldsSortedByNumber=inaccessible extensions=inaccessible oneofs=inaccessible realOneofCount=inaccessible extensionRangeLowerBounds=inaccessible extensionRangeUpperBounds=inaccessible>, expectedProtoValue: null, transformResult: <pl.allegro.tech.hermes.consumers.consumer.sender.googlebigquery.avro.conversions.ConvertPrimitivesTest$__spock_feature_0_3prov5_closure24@7c39dbc6 delegate=inaccessible owner=inaccessible thisObject=inaccessible resolveStrategy=inaccessible directive=inaccessible parameterTypes=inaccessible maximumNumberOfParameters=inaccessible bcw=inaccessible thisType=inaccessible>, #7]","","Mon May 18 09:33:50 UTC 2026","passed","Mon May 18 09:33:50 UTC 2026","","ConvertPrimitivesTest","pl.allegro.tech.hermes.consumers.consumer.sender.googlebigquery.avro.conversions.ConvertPrimitivesTest","should convert primitive types with default values [suite: default-primitives, avroType: double, fieldExists: true, protoDescriptor: <com.google.protobuf.Descriptors$Descriptor@1e2aa6d0 index=inaccessible proto=inaccessible fullName=inaccessible file=inaccessible containingType=inaccessible nestedTypes=inaccessible enumTypes=inaccessible fields=inaccessible fieldsSortedByNumber=inaccessible extensions=inaccessible oneofs=inaccessible realOneofCount=inaccessible extensionRangeLowerBounds=inaccessible extensionRangeUpperBounds=inaccessible>, expectedProtoValue: null, transformResult: <pl.allegro.tech.hermes.consumers.consumer.sender.googlebigquery.avro.conversions.ConvertPrimitivesTest$__spock_feature_0_3prov5_closure24@7c39dbc6 delegate=inaccessible owner=inaccessible thisObject=inaccessible resolveStrategy=inaccessible directive=inaccessible parameterTypes=inaccessible maximumNumberOfParameters=inaccessible bcw=inaccessible thisType=inaccessible>, #7]"
"","19","should not retry loading schema for topics that have no schema","","Mon May 18 09:35:44 UTC 2026","passed","Mon May 18 09:35:44 UTC 2026","","TopicSchemaLoadingStartupHookTest","pl.allegro.tech.hermes.frontend.server.TopicSchemaLoadingStartupHookTest","should not retry loading schema for topics that have no schema"
